electrode,x,y,radius,theta,X,Y,Z,sph_radius,sph_phi,sph_theta,italyskinidx,colinbemskinidx
Fp1',"-0,154484587","0,4755025589","0,4999681702","107,9983041168","-0,309","0,9511","0,0001","1,0000361093","107,9983041168","89,9942706289",17068,1246
Fp2',"0,1545396446","0,4755181366","0,5","71,9962470435","0,3091","0,9511",0,"1,0000670078","71,9962470435",-90,7170,611
F3',"-0,2075647108","0,258581264","0,3315831408","128,7542186988","-0,5399","0,6726","0,5043","0,9991002252","128,7542186988","59,6849653458",19934,1469
F4',"0,2075647108","0,258581264","0,3315831408","51,2457813012","0,5399","0,6726","0,5043","0,9991002252","51,2457813012","59,6849653458",4953,419
C3',"-0,2499999991","3,53806961633521e-05","0,2500000016","179,9918913417","-0,7066","0,0001","0,7066","0,9992833082","179,9918913417","45,0000002869",22515,1741
C4',"0,2499999991","3,53806961633521e-05","0,2500000016","0,0081086583","0,7066","0,0001","0,7066","0,9992833082","0,0081086583","45,0000002869",3011,227
P3',"-0,2076114597","-0,2584668497","0,3315231977","-128,7728973432","-0,5401","-0,6724","0,5045","0,9991746694","-128,7728973432","59,6741755787",19301,1569
P4',"0,2076114597","-0,2584668497","0,3315231977","-51,2271026568","0,5401","-0,6724","0,5045","0,9991746694","-51,2271026568","59,6741755787",5539,535
O1',"-0,1544944221","-0,4755328312","0,5","-107,9983041168","-0,309","-0,9511",0,"1,0000361043","-107,9983041168",-90,16337,1628
O2',"0,1544944221","-0,4755328312","0,5","-72,0016958832","0,309","-0,9511",0,"1,0000361043","-72,0016958832",-90,8198,791
F7',"-0,4045020549","0,293901493","0,5","143,9987440593","-0,809","0,5878",0,"0,99999492","143,9987440593",-90,22279,1684
F8',"0,4045020549","0,293901493","0,5","36,0012559407","0,809","0,5878",0,"0,99999492","36,0012559407",-90,2270,103
T7',"-0,5",0,"0,5",-180,-1,0,0,1,-180,-90,24099,1931
T8',"0,5",0,"0,5",0,1,0,0,1,0,-90,352,209
P7',"-0,4045278064","-0,2939202035","0,5000318312","-143,9987440593","-0,809","-0,5878","-0,0001","0,999994925","-143,9987440593","-90,005729607",22367,2051
P8',"0,4045278064","-0,2939202035","0,5000318312","-36,0012559407","0,809","-0,5878","-0,0001","0,999994925","-36,0012559407","-90,005729607",2007,298
Fz',0,"0,25","0,25",90,0,"0,7067","0,7067","0,9994247245",90,45,12752,852
